True Draft Value,Predicted Draft Value,True Draft Position,Predicted Draft Position
255.0,14.539972,67.0,192.0
9.4,14.542507,205.0,192.0
7.0,14.542771,211.0,192.0
292.0,14.541901,61.0,192.0
47.0,14.543337,125.0,192.0
440.0,14.540434,46.0,192.0
33.0,14.504361,146.0,192.0
104.0,14.538801,99.0,192.0
0.0,14.527169,300.0,192.0
205.0,14.542098,77.0,192.0
15.4,14.540765,190.0,192.0
0.0,14.541775,300.0,192.0
33.0,14.541488,146.0,192.0
6.2,14.504731,213.0,192.0
360.0,14.542072,54.0,192.0
1350.0,14.540259,9.0,192.0
25.8,14.538009,164.0,192.0
27.0,14.536674,161.0,192.0
680.0,14.538782,27.0,192.0
700.0,14.541717,26.0,192.0
14.2,14.544515,193.0,192.0
136.0,14.543014,91.0,192.0
1050.0,14.541412,15.0,192.0
15.0,14.54324,191.0,192.0
260.0,14.543981,66.0,192.0
15.4,14.528045,190.0,192.0
0.0,14.541957,300.0,192.0
580.0,14.542731,33.0,192.0
15.4,14.451146,190.0,192.0
104.0,14.544113,99.0,192.0
0.0,14.514628,300.0,192.0
23.4,14.538131,170.0,192.0
32.3,14.538064,148.0,192.0
86.0,14.544601,104.0,192.0
5.4,14.5410795,215.0,192.0
78.0,14.543586,108.0,192.0
1700.0,14.542597,5.0,192.0
1300.0,14.542039,10.0,192.0
9.0,14.477002,206.0,192.0
136.0,14.540626,91.0,192.0
92.0,14.544425,102.0,192.0
44.0,14.541234,128.0,192.0
550.0,14.543998,35.0,192.0
560.0,14.541419,34.0,192.0
3.8,14.541318,219.0,192.0
49.0,14.54223,123.0,192.0
70.0,14.535132,112.0,192.0
56.0,14.540862,119.0,192.0
84.0,14.542293,105.0,192.0
284.0,14.542379,62.0,192.0
0.0,14.543007,300.0,192.0
0.0,14.544101,300.0,192.0
620.0,14.540456,30.0,192.0
500.0,14.542548,40.0,192.0
13.0,14.532769,196.0,192.0
25.8,14.541333,164.0,192.0
0.0,14.538852,300.0,192.0
32.3,14.544661,148.0,192.0
9.4,14.532574,205.0,192.0
210.0,14.541879,76.0,192.0
3.0,14.544972,221.0,192.0
276.0,14.542921,63.0,192.0
28.6,14.543057,157.0,192.0
0.0,14.539435,300.0,192.0
12.2,14.541682,198.0,192.0
31.0,14.529004,151.0,192.0
3.4,14.540544,220.0,192.0
660.0,14.542773,28.0,192.0
530.0,14.540458,37.0,192.0
88.0,14.543288,103.0,192.0
0.0,14.54326,300.0,192.0
13.0,14.540314,196.0,192.0
175.0,14.543033,83.0,192.0
37.5,14.518716,137.0,192.0
50.0,14.541746,122.0,192.0
240.0,14.541935,70.0,192.0
0.0,14.540514,300.0,192.0
0.0,14.539205,300.0,192.0
112.0,14.541598,97.0,192.0
1000.0,14.5432825,16.0,192.0
1050.0,14.543446,15.0,192.0
185.0,14.537436,81.0,192.0
900.0,14.539403,18.0,192.0
60.0,14.542819,117.0,192.0
180.0,14.54205,82.0,192.0
0.0,14.541558,300.0,192.0
0.0,14.537929,300.0,192.0
200.0,14.541415,78.0,192.0
120.0,14.542468,95.0,192.0
72.0,14.544457,111.0,192.0
37.0,14.539742,138.0,192.0
0.0,14.540081,300.0,192.0
70.0,14.542183,112.0,192.0
1150.0,14.5426445,13.0,192.0
92.0,14.541623,102.0,192.0
560.0,14.5419855,34.0,192.0
3.8,14.52937,219.0,192.0
34.5,14.54089,143.0,192.0
30.2,14.541413,153.0,192.0
32.6,14.543608,147.0,192.0
41.0,14.540705,131.0,192.0
175.0,14.539294,83.0,192.0
66.0,14.544335,114.0,192.0
225.0,14.542195,73.0,192.0
0.0,14.534272,300.0,192.0
140.0,14.541938,90.0,192.0
25.0,14.539706,166.0,192.0
410.0,14.544757,49.0,192.0
52.0,14.542993,121.0,192.0
0.0,14.540458,300.0,192.0
4.6,14.540181,217.0,192.0
84.0,14.541402,105.0,192.0
560.0,14.543418,34.0,192.0
38.5,14.542199,135.0,192.0
0.0,14.532903,300.0,192.0
6.2,14.5448885,213.0,192.0
245.0,14.544559,69.0,192.0
590.0,14.540673,32.0,192.0
6.6,14.5463,212.0,192.0
440.0,14.542485,46.0,192.0
17.0,14.540477,186.0,192.0
49.0,14.54395,123.0,192.0
0.0,14.492412,300.0,192.0
23.0,14.543888,171.0,192.0
24.2,14.54325,168.0,192.0
